filename,audio_coeff,temporal_coeff,features_coeff,threshold,clustering_coeff
fig/echonest_audio_only.png,1,0,0,0.99,0.4076815905987252
fig/echonest_temporal_only.png,0,1,0,0.96,0.41024686819680845
fig/librosa_audio_only.png,0,0,1,0.96,0.4213983803128471
fig/euclid/echonest_audio_only.png,1,0,0,0.875,0.45348990444195847
fig/euclid/echonest_temporal_only.png,0,1,0,0.825,0.4162777279273538
fig/euclid/librosa_audio_only.png,0,0,1,0.825,0.4624215963907389
fig/cos/test_1.png,0.4,0.2,0.4,0.95,0.4735807126891162
fig/euclid/test_1.png,0.4,0.2,0.4,0.81,0.4536133979054912
fig/cos/test_2.png,0.2,0.2,0.6,0.95,0.44264731865935486
fig/euclid/test_2.png,0.2,0.2,0.6,0.8,0.4575515457274159
